timestamp,ch1
1701530511.717,-8806.430853179796
1701530511.721,-8873.486086545718
1701530511.7250001,-8933.232299474752
1701530511.729,-8911.975790497756
1701530511.733,-8943.67056413538
1701530511.737,-9013.095082413565
1701530511.741,-9121.143415110519
1701530511.7450001,-9215.713645900923
1701530511.749,-9310.060359246774
1701530511.753,-9402.23895338046
1701530511.757,-9509.080291876828
1701530511.761,-9677.835962514397
1701530511.765,-9874.151334065358
1701530511.769,-10012.195707821335
1701530511.773,-10116.600706172074
1701530511.777,-10174.603483033596
1701530511.781,-10196.865820511082
1701530511.7849998,-10201.157355446501
1701530511.789,-10184.885285483037
1701530511.793,-10160.276014837744
1701530511.797,-10136.38200001502
1701530511.8009999,-10109.559906668652
1701530511.805,-10079.541513865175
1701530511.809,-10034.592155765553
1701530511.813,-10051.423019340398
1701530511.817,-10058.329708377089
1701530511.8209999,-10048.651403027941
1701530511.825,-10030.658248741418
1701530511.829,-9996.728300658262
1701530511.833,-9938.881986007927
1701530511.837,-9924.979200956726
1701530511.8409998,-9985.083041797048
1701530511.845,-10095.85828731755
1701530511.849,-10170.468410309364
1701530511.853,-10270.246597557854
1701530511.857,-10371.745869129405
1701530511.861,-10483.45988791703
1701530511.865,-10536.947612398579
1701530511.8690002,-10534.243051319487
1701530511.8730001,-10487.282036218887
1701530511.877,-10439.87398622918
1701530511.881,-10354.28915670981
1701530511.8850002,-10262.89287363206
1701530511.8890002,-10157.884378181026
1701530511.8930001,-10064.297624146655
1701530511.897,-10008.038283352647
1701530511.901,-9968.341585200023
1701530511.9050002,-9933.472863849744
1701530511.9090002,-9873.950168365262
1701530511.913,-9774.730774728152
1701530511.917,-9667.084773431394
1701530511.921,-9528.436902575124
1701530511.9250002,-9370.879455909664
1701530511.9290001,-9214.752520889346
1701530511.933,-9124.18325235644
1701530511.937,-9069.51088541876
1701530511.941,-9037.346725147572
1701530511.945,-9019.510033072238
1701530511.9490001,-8986.16123034492
1701530511.953,-8927.085569749543
1701530511.957,-8820.020713808623
1701530511.961,-8724.645820217827
1701530511.9650002,-8655.266005428553
1701530511.969,-8553.654975134728
1701530511.973,-8478.933093420637
1701530511.977,-8430.832139352815
1701530511.981,-8368.202551389046
1701530511.9850001,-8285.948131793515
1701530511.989,-8198.083424339704
1701530511.993,-8144.595699858153
1701530511.997,-8129.463568861911
1701530512.001,-8148.462551648921
1701530512.005,-8167.886217580583
1701530512.009,-8153.0893627511705
1701530512.013,-8211.494471012888
1701530512.017,-8295.335864464745
